# unique local-operation groups derived from the current worklist
# each group keeps all mapped official rows together to prevent duplicate implementation
# needs_approval means implementation remains unauthorized until the user approves it
local_operation	exchanges	owner	coverage_states	mapping_methods	official_row_count	official_operations	exposures	coverage_locators	rust_locators	verification	audit_result	next_action	reasons
exchange.orders	Bithumb	bithumb_owner	Partial	open_orders;order_list	1	Bithumb | Exchange | Http | GET | /v1/orders | listOrders	common_and_provider	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:205;src/adapters/bithumb/mod.rs:1240	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
exchange.orders_by_ids	Bithumb;Upbit	common_contract	Partial	orders_by_ids	2	Bithumb | Exchange | Http | POST | /v2/orders/search | searchOrders || Upbit | Exchange | Http | GET | /v1/orders/uuids | list-orders-by-ids	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:223	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
exchange.test_order	Upbit	upbit_owner	Partial	test_order	1	Upbit | Exchange | Http | POST | /v1/orders/test | order-test	provider_typed	bindings/common/src/coverage.rs::OPERATIONS	src/adapters/upbit/mod.rs:1425	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
info.all_mids	Hyperliquid	hyperliquid_owner	Partial	all_mids	1	Hyperliquid | Info endpoint | Http | POST | /info type=allMids | allMids	provider_typed	bindings/common/src/coverage.rs::OPERATIONS	src/adapters/hyperliquid/mod.rs:652	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
info.clearinghouse_state	Hyperliquid	hyperliquid_owner	Partial	margin_summary;positions	1	Hyperliquid | Perpetuals info | Http | POST | /info type=clearinghouseState | clearinghouseState	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:275;src/adapter.rs:281	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
info.frontend_open_orders	Hyperliquid	hyperliquid_owner	Partial	open_orders	1	Hyperliquid | Info endpoint | Http | POST | /info type=frontendOpenOrders | frontendOpenOrders	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:205	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
info.meta	Hyperliquid	hyperliquid_owner	Partial	markets	1	Hyperliquid | Perpetuals info | Http | POST | /info type=meta | meta	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:44	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
info.meta_and_asset_contexts	Hyperliquid	hyperliquid_owner	Partial	asset_context;ticker	1	Hyperliquid | Perpetuals info | Http | POST | /info type=metaAndAssetCtxs | metaAndAssetCtxs	common_and_provider	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:62;src/adapters/hyperliquid/mod.rs:521	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
quotation.candle_stream	Upbit	upbit_owner	Partial	subscribe	1	Upbit | Quotation | WebSocketStream | SUBSCRIBE | type=candle.{unit} | candle.{unit}	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
quotation.orderbook	Bithumb	bithumb_owner	Partial	order_book	1	Bithumb | Quotation | Http | GET | /v1/orderbook | getOrderBook	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:56	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
quotation.orderbook_stream	Bithumb;Upbit	common_contract	Partial	subscribe	2	Bithumb | Quotation | WebSocketStream | SUBSCRIBE | type=orderbook | orderbook || Upbit | Quotation | WebSocketStream | SUBSCRIBE | type=orderbook | orderbook	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
quotation.ticker_stream	Bithumb;Upbit	common_contract	Partial	subscribe	2	Bithumb | Quotation | WebSocketStream | SUBSCRIBE | type=ticker | ticker || Upbit | Quotation | WebSocketStream | SUBSCRIBE | type=ticker | ticker	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
quotation.trade_stream	Bithumb;Upbit	common_contract	Partial	subscribe	2	Bithumb | Quotation | WebSocketStream | SUBSCRIBE | type=trade | trade || Upbit | Quotation | WebSocketStream | SUBSCRIBE | type=trade | trade	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
spot.aggregate_trades	Binance	binance_owner	Partial	aggregate_trades	1	Binance | Spot REST | Http | GET | /api/v3/aggTrades | aggTrades	provider_typed	bindings/common/src/coverage.rs::OPERATIONS	src/adapters/binance/mod.rs:911	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
spot.cancel_order	Binance	binance_owner	Partial	cancel_order;cancel_order_by_client_id	1	Binance | Spot REST | Http | DELETE | /api/v3/order | deleteOrder	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:250;src/adapter.rs:256	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
spot.kline_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Spot WebSocket Market Streams | WebSocketStream | POST | /{symbol}@kline_{interval} | kline	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
spot.new_order	Binance	binance_owner	Partial	place_order	1	Binance | Spot REST | Http | POST | /api/v3/order | newOrder	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:244	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
spot.partial_book_depth_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Spot WebSocket Market Streams | WebSocketStream | POST | /{symbol}@depth{levels}@{updateSpeed} | partialBookDepth	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
spot.ticker_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Spot WebSocket Market Streams | WebSocketStream | POST | /{symbol}@ticker | ticker	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
spot.trade_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Spot WebSocket Market Streams | WebSocketStream | POST | /{symbol}@trade | trade	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
spot.user_data_stream_signature	Binance	binance_owner	Partial	subscribe_account	1	Binance | Spot WebSocket | WebSocketRequest | POST | /userDataStream.subscribe.signature | userDataStreamSubscribeSignature	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:238	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
usd_m.aggregate_trades	Binance	binance_owner	Partial	aggregate_trades	1	Binance | Futures (USD-M) REST | Http | GET | /fapi/v1/aggTrades | compressedAggregateTradesList	provider_typed	bindings/common/src/coverage.rs::OPERATIONS	src/adapters/binance/mod.rs:911	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
usd_m.cancel_order	Binance	binance_owner	Partial	cancel_order;cancel_order_by_client_id	1	Binance | Futures (USD-M) REST | Http | DELETE | /fapi/v1/order | cancelOrder	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:250;src/adapter.rs:256	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
usd_m.kline_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Futures (USD-M) WebSocket Market Streams | WebSocketStream | POST | /{symbol}@kline_{interval} | klineCandlestickStreams	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
usd_m.new_order	Binance	binance_owner	Partial	place_order	1	Binance | Futures (USD-M) REST | Http | POST | /fapi/v1/order | newOrder	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:244	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
usd_m.partial_book_depth_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Futures (USD-M) WebSocket Market Streams | WebSocketStream | POST | /{symbol}@depth{levels}@{updateSpeed} | partialBookDepthStreams	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
usd_m.ticker_stream	Binance	binance_owner	Partial	subscribe	1	Binance | Futures (USD-M) WebSocket Market Streams | WebSocketStream | POST | /{symbol}@ticker | individualSymbolTickerStreams	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:78	LiveRead	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
wallet.cancel_withdrawal	Bithumb;Upbit	common_contract	Partial	cancel_withdrawal	2	Bithumb | Deposits and withdrawals | Http | DELETE | /v1/withdraws/coin | cancelCoinWithdrawal || Upbit | Deposits and withdrawals | Http | DELETE | /v1/withdraws/coin | cancel-withdrawal	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:184	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
wallet.deposit	Bithumb;Upbit	common_contract	Partial	deposit	2	Bithumb | Deposits and withdrawals | Http | GET | /v1/deposit | getDeposit || Upbit | Deposits and withdrawals | Http | GET | /v1/deposit | get-deposit	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:172	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
wallet.withdrawal	Bithumb;Upbit	common_contract	Partial	withdrawal	2	Bithumb | Deposits and withdrawals | Http | GET | /v1/withdraw | getWithdrawal || Upbit | Deposits and withdrawals | Http | GET | /v1/withdraw | get-withdrawal	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:178	Fixture	gap_found	needs_approval	Current coverage explicitly marks this connected public contract as Partial.
